propulsion_case,engine_static_thrust_N_per_engine,estimated_mtow_kg,available_thrust_N,required_thrust_descent_N,corrected_margin_N,mission_fuel_kg,monotonicity_flag,failure_cause
baseline_fixed_cycle_turbofan,115000.0,90714.9911824971,75526.42279266262,58698.943944096485,16827.478848566134,13712.666393267997,reference,
baseline_fixed_cycle_turbofan,130000.0,92315.56269437526,85377.69533083601,58875.30115068319,26502.39418015282,15315.56269437526,pass,
baseline_fixed_cycle_turbofan,150000.0,93037.92261159327,98512.72538173385,59025.83035758086,39486.89502415299,16033.201568747372,pass,
adaptive_cycle_turbofan,115000.0,88948.72153967943,76715.96395164705,58546.08723827652,18169.876713370526,11946.349527666916,reference,
adaptive_cycle_turbofan,130000.0,90363.51473415192,86722.39403229667,58707.9761827457,28014.41784955097,13359.445781786544,pass,
adaptive_cycle_turbofan,150000.0,90924.2801660339,100064.30080649615,58836.63278596691,41227.668020529236,13920.440488087876,pass,
adaptive_cycle_plus_hybrid_electric,115000.0,93643.22504581024,52183.75015945631,66815.73987496315,-14631.989715506847,12443.225045810232,reference,
adaptive_cycle_plus_hybrid_electric,130000.0,94965.58673582315,62190.180240105925,66986.06363786574,-4795.8833977598115,13762.694419390007,pass,
adaptive_cycle_plus_hybrid_electric,150000.0,95524.41624065867,75532.0870143054,67127.34575470276,8404.74125960264,14319.72567029662,pass,
