selection_label,case_id,propulsion_case,changed_parameter,changed_value,weight_kg,weight_N,speed_mps,altitude_m,gamma_deg,density_kg_m3,wing_area_m2,cl,cd,ld_ratio,drag_N,weight_component_along_path_N,required_thrust_level_flight_N,required_thrust_descent_N,available_thrust_N,electric_thrust_proxy_N,net_required_thrust_after_electric_N,corrected_margin_N,v05r_reported_corrected_min_margin_N,v05q2_approach_only_corrected_margin_N,v05q2_corrected_all_segment_min_margin_N,v05q2_non_approach_min_thrust_margin_N,approach_margin_minus_v05r_reported_min_N,approach_margin_minus_v05q2_approach_only_N,q2_all_segment_minus_approach_only_N,raw_margin_N,fuel_kg,estimated_mtow_kg,engine_static_thrust_N_per_engine,engine_rating,approach_drag_multiplier,approach_rating_throttle_multiplier,unmet_electric_load_Wh,conclusion_flag
nominal_baseline,V05-0001_baseline,baseline_fixed_cycle_turbofan,baseline,baseline,78670.62614832571,771495.2959174783,70.0,250.0,-3.0,1.1958679237817624,160.0,1.6457505093569258,0.21134826614250332,7.7869127549277595,99075.88799287063,-40376.944048774145,99075.88799287063,58698.943944096485,75526.42279266262,0.0,58698.943944096485,16827.478848566134,16827.478848566134,16827.478848566134,-39897.2915536737,-39897.2915536737,0.0,0.0,-56724.77040223983,-104611.55537619304,13714.99118249711,90714.9911824971,115000.0,approach,1.0,1.0,0.0,approach_margin_positive_but_other_segment_may_limit
nominal_adaptive,V05-0001_adaptive,adaptive_cycle_turbofan,baseline,baseline,78495.29149254208,769775.8503153378,70.0,250.0,-3.0,1.1958679237817624,160.0,1.6420825952549103,0.21083022907079402,7.788648726950444,98833.04245725492,-40286.9552189784,98833.04245725492,58546.08723827652,76715.96395164705,0.0,58546.08723827652,18169.876713370526,18169.87671337053,18169.87671337053,-39823.36356221416,-39823.36356221416,-3.637978807091713e-12,-3.637978807091713e-12,-57993.240275584685,-102980.47687972552,11948.721539679434,88948.72153967943,115000.0,approach,1.0,1.0,0.0,approach_margin_positive_but_other_segment_may_limit
nominal_hybrid,V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,baseline,baseline,82735.85273404059,811361.5502142791,70.0,250.0,-3.0,1.1958679237817624,160.0,1.7307930347777554,0.23311376285662647,7.424671171569809,109279.12246418474,-42463.38258922159,109279.12246418474,66815.73987496315,52183.75015945631,17683.253955191904,49132.48591977125,-14631.989715506847,-14631.989715506848,-14631.989715506848,-41330.10106467904,-41330.10106467904,1.8189894035458565e-12,1.8189894035458565e-12,-26698.11134917219,-146505.56341178864,12443.225045810233,93643.22504581024,115000.0,approach,1.0,1.0,287117.0432304107,sizing_or_schedule_issue
top_candidate,V05-0003_adaptive,adaptive_cycle_turbofan,sea_level_static_thrust_N_per_engine,150000.0,78828.0330274162,773038.930088311,70.0,250.0,-3.0,1.1958679237817624,160.0,1.6490433832556415,0.21181431910317827,7.785325327568459,99294.36440516087,-40457.73161919396,99294.36440516087,58836.63278596691,100064.30080649615,0.0,58836.63278596691,41227.668020529236,41227.66802052924,41227.66802052924,-35889.251551345245,-35889.251551345245,-7.275957614183426e-12,-7.275957614183426e-12,-77116.91957187449,-80470.90720288726,13924.280166033901,90924.2801660339,150000.0,approach,1.0,1.0,0.0,approach_margin_positive_but_other_segment_may_limit
best_hybrid_min_unmet_load,V05-0148_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=150000;total_electric_power_W=0,80882.62132900186,793187.558456056,70.0,250.0,-3.0,1.1958679237817624,160.0,1.6920243522576959,0.21798301558465405,7.7621843505536585,102186.12733662785,-41512.2293518036,102186.12733662785,60673.897984824245,100064.30080649615,0.0,60673.897984824245,39390.4028216719,39390.4028216719,39390.4028216719,-36613.02605836527,-36613.02605836527,0.0,0.0,-76003.42888003717,-85728.65798737266,11929.38526260893,91129.38526260894,150000.0,approach,1.0,1.0,0.0,approach_margin_positive_but_other_segment_may_limit
best_hybrid_corrected_margin,V05-0148_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=150000;total_electric_power_W=0,80882.62132900186,793187.558456056,70.0,250.0,-3.0,1.1958679237817624,160.0,1.6920243522576959,0.21798301558465405,7.7621843505536585,102186.12733662785,-41512.2293518036,102186.12733662785,60673.897984824245,100064.30080649615,0.0,60673.897984824245,39390.4028216719,39390.4028216719,39390.4028216719,-36613.02605836527,-36613.02605836527,0.0,0.0,-76003.42888003717,-85728.65798737266,11929.38526260893,91129.38526260894,150000.0,approach,1.0,1.0,0.0,approach_margin_positive_but_other_segment_may_limit
