case_name,block_fuel_kg,reserve_fuel_kg,mission_fuel_kg,start_mass_kg,final_mass_kg,final_fuel_kg,electric_energy_Wh,max_electric_power_W,max_thermal_load_W,constraint_violations
baseline_fixed_cycle_turbofan,12696.913327099996,1015.7530661679997,13712.666393267995,90714.9911824971,78018.0778553971,1018.077855397114,0.0,0.0,0.0,low_thrust_margin
adaptive_cycle_turbofan,11061.434747839738,884.914779827179,11946.349527666916,88948.72153967943,77887.2867918397,887.2867918396969,0.0,0.0,0.0,low_thrust_margin
adaptive_cycle_plus_hybrid_electric,11521.504672046512,921.720373763721,12443.225045810233,93643.22504581024,82121.72037376373,921.720373763721,1009366.376595386,4000000.0,464573.2800518414,low_thrust_margin;unmet_electric_load
