case_id,propulsion_case,changed_parameter,changed_value,raw_all_segment_min_thrust_margin_N,approach_only_corrected_margin_N,corrected_all_segment_min_thrust_margin_N,raw_low_thrust_margin,approach_only_corrected_low_thrust_margin,corrected_all_segment_low_thrust_margin,approach_only_model_sensitive,sizing_or_schedule_low_thrust,unmet_electric_load_Wh,conclusion_status_approach_corrected,conclusion_status_all_segment_corrected
V05-0005_baseline,baseline_fixed_cycle_turbofan,cruise_tsfc_multiplier,1.1,-104810.45243804173,16758.556816028708,-39933.728111399294,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0005_adaptive,adaptive_cycle_turbofan,cruise_tsfc_multiplier,1.1,-103149.84759186796,18111.26566696738,-39854.38219237438,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0005_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_tsfc_multiplier,1.1,-146681.8638944585,-14694.840805090833,-41362.484843241036,True,True,True,False,True,287117.0432304107,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0006_baseline,baseline_fixed_cycle_turbofan,cruise_ld,13.0,-104611.55537619304,16827.478848566134,-39897.2915536737,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0006_adaptive,adaptive_cycle_turbofan,cruise_ld,13.0,-102980.47687972552,18169.876713370526,-39823.36356221416,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0006_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_ld,13.0,-146505.56341178864,-14631.989715506847,-41330.10106467904,True,True,True,False,True,287117.0432304107,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0007_baseline,baseline_fixed_cycle_turbofan,cruise_ld,15.0,-104611.55537619304,16827.478848566134,-39897.2915536737,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0007_adaptive,adaptive_cycle_turbofan,cruise_ld,15.0,-102980.47687972552,18169.876713370526,-39823.36356221416,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0007_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_ld,15.0,-146505.56341178864,-14631.989715506847,-41330.10106467904,True,True,True,False,True,287117.0432304107,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0008_baseline,baseline_fixed_cycle_turbofan,cruise_ld,17.0,-104521.02729188984,16858.83530187684,-39884.83360130622,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0008_adaptive,adaptive_cycle_turbofan,cruise_ld,17.0,-102872.83471362563,18207.1110813524,-39808.55751455427,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0008_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_ld,17.0,-146512.07139179952,-14634.30932202324,-41330.9960986534,True,True,True,False,True,287117.0432304107,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0009_baseline,baseline_fixed_cycle_turbofan,cruise_ld,18.0,-104417.92323798167,16894.537466304704,-39870.64499366417,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0009_adaptive,adaptive_cycle_turbofan,cruise_ld,18.0,-102785.80018915544,18237.208317858778,-39796.586005933525,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0009_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_ld,18.0,-146375.95025438967,-14585.800140106789,-41312.275521884716,True,True,True,False,True,287117.0432304107,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0010_baseline,baseline_fixed_cycle_turbofan,mtow_upper_kg,87500.0,-104611.55537619304,16827.478848566134,-39897.2915536737,True,False,True,True,True,0.0,rejected_above_mtow_upper,rejected_all_segment_low_thrust_margin
V05-0010_adaptive,adaptive_cycle_turbofan,mtow_upper_kg,87500.0,-102980.47687972552,18169.876713370526,-39823.36356221416,True,False,True,True,True,0.0,rejected_above_mtow_upper,rejected_all_segment_low_thrust_margin
V05-0010_hybrid,adaptive_cycle_plus_hybrid_electric,mtow_upper_kg,87500.0,-146505.56341178864,-14631.989715506847,-41330.10106467904,True,True,True,False,True,287117.0432304107,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0011_baseline,baseline_fixed_cycle_turbofan,mtow_upper_kg,90000.0,-104611.55537619304,16827.478848566134,-39897.2915536737,True,False,True,True,True,0.0,rejected_above_mtow_upper,rejected_all_segment_low_thrust_margin
V05-0011_adaptive,adaptive_cycle_turbofan,mtow_upper_kg,90000.0,-102980.47687972552,18169.876713370526,-39823.36356221416,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0011_hybrid,adaptive_cycle_plus_hybrid_electric,mtow_upper_kg,90000.0,-146505.56341178864,-14631.989715506847,-41330.10106467904,True,True,True,False,True,287117.0432304107,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0012_baseline,baseline_fixed_cycle_turbofan,total_electric_power_W,0.0,-104611.55537619304,16827.478848566134,-39897.2915536737,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0012_adaptive,adaptive_cycle_turbofan,total_electric_power_W,0.0,-102980.47687972552,18169.876713370526,-39823.36356221416,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0012_hybrid,adaptive_cycle_plus_hybrid_electric,total_electric_power_W,0.0,-111203.93638843574,15291.295748736004,-40954.42536436887,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0013_baseline,baseline_fixed_cycle_turbofan,total_electric_power_W,2000000.0,-104611.55537619304,16827.478848566134,-39897.2915536737,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0013_adaptive,adaptive_cycle_turbofan,total_electric_power_W,2000000.0,-102980.47687972552,18169.876713370526,-39823.36356221416,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0013_hybrid,adaptive_cycle_plus_hybrid_electric,total_electric_power_W,2000000.0,-178883.55513546648,-47560.73590853944,-47560.73590853944,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
