case_name,segment_name,segment_type,required_thrust_N,available_thrust_N,thrust_margin_N,thrust_margin_ratio,fuel_burn_kg,electric_energy_Wh,soc_start,soc_end,unmet_electric_load_Wh,constraint_flags
baseline_fixed_cycle_turbofan,taxi_out,taxi,0.0,23000.00024501078,23000.00024501078,0.0,41.40000044101941,0.0,,,0.0,
baseline_fixed_cycle_turbofan,takeoff,takeoff,142272.66767448164,218466.77980976296,76194.11213528132,0.535549894303048,249.05212898312976,0.0,,,0.0,
baseline_fixed_cycle_turbofan,climb,climb,101088.37354774412,119878.07484836802,18789.7013006239,0.18587400945519722,2027.7036320590205,0.0,,,0.0,
baseline_fixed_cycle_turbofan,cruise,cruise,60544.7359388081,53700.94536189399,-6843.790576914114,-0.11303692172067706,9465.208215768565,0.0,,,0.0,low_thrust_margin
baseline_fixed_cycle_turbofan,descent,descent,53280.23634544853,13382.944791774837,-39897.2915536737,-0.7488197179718766,261.0010569196569,0.0,,,0.0,low_thrust_margin
baseline_fixed_cycle_turbofan,approach_landing,approach,180137.97816885565,75526.42279266262,-104611.55537619304,-0.5807301516292886,652.548292928605,0.0,,,0.0,low_thrust_margin
adaptive_cycle_turbofan,taxi_out,taxi,0.0,23000.00024501078,23000.00024501078,0.0,40.77900043440412,0.0,,,0.0,
adaptive_cycle_turbofan,takeoff,takeoff,139502.251952398,228270.47655372607,88768.22460132808,0.6363210870002174,252.430053115981,0.0,,,0.0,
adaptive_cycle_turbofan,climb,climb,99739.55543936489,122815.08768215304,23075.532242788147,0.23135788144570743,1851.6935635472746,0.0,,,0.0,
adaptive_cycle_turbofan,cruise,cruise,59777.12516162566,53700.94536189399,-6076.179799731675,-0.1016472401993718,8085.569607532656,0.0,,,0.0,low_thrust_margin
adaptive_cycle_turbofan,descent,descent,53206.308353989,13382.944791774837,-39823.36356221416,-0.7484707132331708,222.95782250703724,0.0,,,0.0,low_thrust_margin
adaptive_cycle_turbofan,approach_landing,approach,179696.44083137257,76715.96395164705,-102980.47687972552,-0.5730802257589652,608.0047007023835,0.0,,,0.0,low_thrust_margin
adaptive_cycle_plus_hybrid_electric,taxi_out,taxi,0.0,23000.00024501078,23000.00024501078,0.0,40.77900043440412,0.0,0.9,0.9,0.0,
adaptive_cycle_plus_hybrid_electric,takeoff,takeoff,146868.2284017416,179589.94105896077,32721.712657219177,0.22279640064638484,253.96196800959802,66666.66666666667,0.9,0.8283782977096681,0.0,
adaptive_cycle_plus_hybrid_electric,climb,climb,105686.57054315254,103391.1774771772,-2295.3930659753387,-0.02171887169939074,2304.103913285965,696483.4198257967,0.8283782977096681,0.4431954559995448,0.0,low_thrust_margin
adaptive_cycle_plus_hybrid_electric,cruise,cruise,61851.3597762141,53700.94536189399,-8150.414414320112,-0.13177421553558924,8085.569607532656,0.0,0.4431954559995448,0.4431954559995448,0.0,low_thrust_margin
adaptive_cycle_plus_hybrid_electric,descent,descent,54713.04585645388,13382.944791774837,-41330.10106467904,-0.7553975549654726,222.95782250703724,0.0,0.4431954559995448,0.4431954559995448,0.0,low_thrust_margin
adaptive_cycle_plus_hybrid_electric,approach_landing,approach,198689.31357124494,52183.75015945631,-146505.56341178864,-0.7373600561524687,614.1323602768515,246216.29010292262,0.4431954559995448,0.2,287117.0432304107,low_thrust_margin;unmet_electric_load
