case_id,propulsion_case,design_variable_summary,mission_fuel_kg,fuel_delta_vs_baseline_pct,estimated_mtow_kg,mtow_margin_to_upper_kg,min_thrust_margin_N,raw_min_thrust_margin_N,corrected_approach_min_thrust_margin_N,unmet_electric_load_Wh,takeoff_proxy_index,conclusion_status,conclusion_status_raw,conclusion_status_corrected,feasible_basic_raw,feasible_basic_corrected,raw_constraint_note,corrected_constraint_note,reason_selected
V05-0003_adaptive,adaptive_cycle_turbofan,sea_level_static_thrust_N_per_engine=150000,13920.440488087876,1.5151983491838168,90924.2801660339,4075.719833966097,-35889.251551345245,-80470.90720288726,-35889.251551345245,0.0,5790.628765360487,rejected_corrected_low_thrust_margin,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,False,False,raw low thrust at approach_landing,corrected low thrust remains,best diagnostic row after corrected screening; constraints remain and result is not validated
V05-0003_baseline,baseline_fixed_cycle_turbofan,sea_level_static_thrust_N_per_engine=150000,16033.201568747372,16.922567128291004,93037.92261159327,1962.0773884067312,-35981.59780710242,-82567.55882627546,-35981.59780710242,0.0,6335.112212182915,rejected_corrected_low_thrust_margin,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,False,False,raw low thrust at approach_landing,corrected low thrust remains,best diagnostic row after corrected screening; constraints remain and result is not validated
V05-0148_hybrid,adaptive_cycle_plus_hybrid_electric,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=150000;total_electric_power_W=0,11922.998626676395,-13.05120182512576,91129.38526260894,3870.6147373910644,-36613.02605836527,-85728.65798737266,-36613.02605836527,0.0,5816.798316851787,rejected_corrected_low_thrust_margin,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,False,False,raw low thrust at approach_landing,corrected low thrust remains,best diagnostic row after corrected screening; constraints remain and result is not validated
V05-0149_hybrid,adaptive_cycle_plus_hybrid_electric,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=150000;total_electric_power_W=0,11922.998626676395,-13.05120182512576,91129.38526260894,3870.6147373910644,-36613.02605836527,-85728.65798737266,-36613.02605836527,0.0,5816.798316851787,rejected_corrected_low_thrust_margin,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,False,False,raw low thrust at approach_landing,corrected low thrust remains,best diagnostic row after corrected screening; constraints remain and result is not validated
V05-0150_hybrid,adaptive_cycle_plus_hybrid_electric,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=150000;total_electric_power_W=0,11922.998626676395,-13.05120182512576,91129.38526260894,3870.6147373910644,-36613.02605836527,-85728.65798737266,-36613.02605836527,0.0,5816.798316851787,rejected_corrected_low_thrust_margin,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,False,False,raw low thrust at approach_landing,corrected low thrust remains,best diagnostic row after corrected screening; constraints remain and result is not validated
V05-0151_hybrid,adaptive_cycle_plus_hybrid_electric,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=150000;total_electric_power_W=0,11922.998626676395,-13.05120182512576,91129.38526260894,3870.6147373910644,-36613.02605836527,-85728.65798737266,-36613.02605836527,0.0,5816.798316851787,rejected_corrected_low_thrust_margin,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,False,False,raw low thrust at approach_landing,corrected low thrust remains,best diagnostic row after corrected screening; constraints remain and result is not validated
V05-0124_hybrid,adaptive_cycle_plus_hybrid_electric,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=150000;total_electric_power_W=0,13676.498156068274,-0.26375787292161834,92885.43724218222,2114.562757817781,-36660.31802543983,-86072.22019250851,-36660.31802543983,0.0,6043.269672789249,rejected_corrected_low_thrust_margin,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,False,False,raw low thrust at approach_landing,corrected low thrust remains,best diagnostic row after corrected screening; constraints remain and result is not validated
V05-0125_hybrid,adaptive_cycle_plus_hybrid_electric,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=150000;total_electric_power_W=0,13676.498156068274,-0.26375787292161834,92885.43724218222,2114.562757817781,-36660.31802543983,-86072.22019250851,-36660.31802543983,0.0,6043.269672789249,rejected_corrected_low_thrust_margin,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,False,False,raw low thrust at approach_landing,corrected low thrust remains,best diagnostic row after corrected screening; constraints remain and result is not validated
V05-0126_hybrid,adaptive_cycle_plus_hybrid_electric,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=150000;total_electric_power_W=0,13676.498156068274,-0.26375787292161834,92885.43724218222,2114.562757817781,-36660.31802543983,-86072.22019250851,-36660.31802543983,0.0,6043.269672789249,rejected_corrected_low_thrust_margin,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,False,False,raw low thrust at approach_landing,corrected low thrust remains,best diagnostic row after corrected screening; constraints remain and result is not validated
V05-0127_hybrid,adaptive_cycle_plus_hybrid_electric,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=150000;total_electric_power_W=0,13676.498156068274,-0.26375787292161834,92885.43724218222,2114.562757817781,-36660.31802543983,-86072.22019250851,-36660.31802543983,0.0,6043.269672789249,rejected_corrected_low_thrust_margin,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,False,False,raw low thrust at approach_landing,corrected low thrust remains,best diagnostic row after corrected screening; constraints remain and result is not validated
