case_name,segment_name,weight_N,speed_mps,altitude_m,gamma_deg,drag_N,weight_component_along_path_N,required_thrust_level_flight_N,required_thrust_descent_N,available_thrust_N,electric_thrust_proxy_N,net_required_thrust_after_electric_N,thrust_margin_level_flight_N,thrust_margin_descent_N,thrust_margin_change_due_to_descent_N,conclusion_flag,mission_required_thrust_N,mission_thrust_margin_N,unmet_electric_load_Wh,constraint_flags
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.0,99075.88799287063,-40376.944048774145,99075.88799287063,58698.943944096485,75526.42279266262,0.0,58698.943944096485,-23549.46520020801,16827.478848566134,40376.944048774145,constraint_sensitive_to_approach_model,180137.97816885565,-104611.55537619304,0.0,low_thrust_margin
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.0,98833.04245725492,-40286.9552189784,98833.04245725492,58546.08723827652,76715.96395164705,0.0,58546.08723827652,-22117.078505607875,18169.876713370526,40286.9552189784,constraint_sensitive_to_approach_model,179696.44083137257,-102980.47687972552,0.0,low_thrust_margin
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,109279.12246418472,-42463.38258922159,109279.12246418472,66815.73987496312,52183.75015945631,17683.253955191904,49132.48591977122,-57095.372304728415,-14631.989715506817,42463.3825892216,sizing_or_schedule_issue,198689.31357124491,-146505.56341178864,287117.0432304107,low_thrust_margin;unmet_electric_load
