phase,duration_s,airspeed_mps,altitude_m,fan_mode,requested_load_W,generated_power_W,battery_power_W,battery_unmet_power_W,supplied_load_W,unmet_load_W,bus_losses_W,total_fan_input_power_W,total_fan_shaft_power_W,total_fan_thrust_N,c_mu_proxy,soc_initial,soc_final,soc_min,soc_max,thermal_load_W,thermal_energy_Wh,rejected_heat_load_W,shaft_power_extraction_W_per_engine
takeoff,60.0,75.0,0.0,assist,4000000.0,2000000.0,2060913.7055837563,0.0,4000000.0,0.0,60913.705583756324,4000000.0,3724000.0,35750.4,0.06485333237380643,0.9,0.8283782977096681,0.8283782977096681,0.9,464573.2800518414,7742.8880008640235,516192.53339093487,1063829.7872340425
initial_climb,180.0,120.0,1000.0,degraded,2000000.0,1500000.0,530456.8527918782,0.0,2000000.0,0.0,30456.852791878162,2000000.0,1862000.0,11172.0,0.00872395276718626,0.8283782977096681,0.7730743477884389,0.7730743477884389,0.8283782977096681,264201.5336429421,13210.076682147104,293557.259603269,797872.340425532
cruise,600.0,230.0,10668.0,off,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7730743477884389,0.7730743477884389,0.7730743477884389,0.7730743477884389,0.0,0.0,0.0,0.0
approach,480.0,70.0,500.0,assist,4000000.0,1000000.0,2061276.0167442537,938723.9832557463,3015356.87649309,984643.1235069102,45919.14025116386,3015356.87649309,2807297.252015067,28875.05744929783,0.063105309661199,0.7730743477884389,0.20000000000000007,0.20000000000000007,0.7730743477884389,317808.55196322943,42374.47359509725,353120.61329247715,531914.8936170213
