case_id,propulsion_case,classification_basis,scope,segment_name,constraint_flag,value,threshold
V05-0004_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0004_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-5649.549504767259,0.0
V05-0004_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39792.38123827279,0.0
V05-0004_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102811.2587453103,0.0
V05-0004_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39792.38123827279,0.0
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,climb,low_thrust_margin,-1593.8012025885691,0.0
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-7703.246581882166,0.0
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41297.75191748103,0.0
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-146329.4045082955,0.0
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-41297.75191748103,0.0
V05-0005_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0005_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-7358.102082373298,0.0
V05-0005_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39933.728111399294,0.0
V05-0005_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104810.45243804173,0.0
V05-0005_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39933.728111399294,0.0
V05-0005_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0005_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6507.248789404141,0.0
V05-0005_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39854.38219237438,0.0
V05-0005_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-103149.84759186796,0.0
V05-0005_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39854.38219237438,0.0
V05-0005_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0005_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0005_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,climb,low_thrust_margin,-3001.636702686461,0.0
V05-0005_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-8602.011297834455,0.0
V05-0005_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41362.484843241036,0.0
V05-0005_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-146681.8638944585,0.0
V05-0005_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0005_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-41362.484843241036,0.0
V05-0006_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0006_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-12981.887413604956,0.0
V05-0006_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39897.2915536737,0.0
V05-0006_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104611.55537619304,0.0
V05-0006_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39897.2915536737,0.0
V05-0006_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0006_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-11780.183164039598,0.0
V05-0006_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39823.36356221416,0.0
V05-0006_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102980.47687972552,0.0
V05-0006_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39823.36356221416,0.0
V05-0006_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0006_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0006_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,climb,low_thrust_margin,-2295.3930659753387,0.0
V05-0006_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-14979.083156265857,0.0
V05-0006_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41330.10106467904,0.0
V05-0006_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-146505.56341178864,0.0
V05-0006_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0006_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-41330.10106467904,0.0
V05-0007_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0007_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-4090.843043538429,0.0
V05-0007_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39897.2915536737,0.0
V05-0007_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104611.55537619304,0.0
V05-0007_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39897.2915536737,0.0
V05-0007_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0007_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-3049.3660272484485,0.0
V05-0007_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39823.36356221416,0.0
V05-0007_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102980.47687972552,0.0
V05-0007_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39823.36356221416,0.0
V05-0007_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0007_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0007_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,climb,low_thrust_margin,-2295.3930659753387,0.0
V05-0007_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-5821.7460205112075,0.0
V05-0007_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41330.10106467904,0.0
V05-0007_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-146505.56341178864,0.0
V05-0007_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0007_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-41330.10106467904,0.0
V05-0008_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0008_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39884.83360130622,0.0
V05-0008_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104521.02729188984,0.0
V05-0008_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39884.83360130622,0.0
V05-0008_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0008_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39808.55751455427,0.0
V05-0008_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102872.83471362563,0.0
V05-0008_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39808.55751455427,0.0
V05-0008_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0008_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0008_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,climb,low_thrust_margin,-2144.856804739815,0.0
V05-0008_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41330.9960986534,0.0
V05-0008_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-146512.07139179952,0.0
V05-0008_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0008_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-41330.9960986534,0.0
V05-0009_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0009_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39870.64499366417,0.0
V05-0009_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104417.92323798167,0.0
V05-0009_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39870.64499366417,0.0
V05-0009_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0009_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39796.586005933525,0.0
V05-0009_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102785.80018915544,0.0
V05-0009_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39796.586005933525,0.0
V05-0009_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0009_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0009_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,climb,low_thrust_margin,-1727.7481678782206,0.0
V05-0009_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41312.275521884716,0.0
V05-0009_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-146375.95025438967,0.0
V05-0009_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0009_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-41312.275521884716,0.0
V05-0010_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0010_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6843.790576914114,0.0
V05-0010_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39897.2915536737,0.0
V05-0010_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104611.55537619304,0.0
V05-0010_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39897.2915536737,0.0
V05-0010_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0010_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6076.179799731675,0.0
V05-0010_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39823.36356221416,0.0
V05-0010_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102980.47687972552,0.0
V05-0010_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39823.36356221416,0.0
V05-0010_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0010_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0010_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,climb,low_thrust_margin,-2295.3930659753387,0.0
V05-0010_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-8150.414414320112,0.0
V05-0010_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41330.10106467904,0.0
V05-0010_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-146505.56341178864,0.0
V05-0010_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0010_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-41330.10106467904,0.0
V05-0011_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0011_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6843.790576914114,0.0
V05-0011_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39897.2915536737,0.0
V05-0011_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104611.55537619304,0.0
V05-0011_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39897.2915536737,0.0
V05-0011_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0011_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6076.179799731675,0.0
V05-0011_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39823.36356221416,0.0
V05-0011_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102980.47687972552,0.0
V05-0011_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39823.36356221416,0.0
V05-0011_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0011_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0011_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,climb,low_thrust_margin,-2295.3930659753387,0.0
V05-0011_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-8150.414414320112,0.0
V05-0011_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41330.10106467904,0.0
V05-0011_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-146505.56341178864,0.0
V05-0011_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0011_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-41330.10106467904,0.0
V05-0012_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0012_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6843.790576914114,0.0
V05-0012_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39897.2915536737,0.0
V05-0012_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104611.55537619304,0.0
V05-0012_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39897.2915536737,0.0
V05-0012_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0012_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6076.179799731675,0.0
V05-0012_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39823.36356221416,0.0
V05-0012_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102980.47687972552,0.0
V05-0012_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39823.36356221416,0.0
V05-0012_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0012_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-7634.158078067099,0.0
V05-0012_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-40954.42536436887,0.0
V05-0012_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-111203.93638843574,0.0
V05-0012_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-40954.42536436887,0.0
V05-0013_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0013_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6843.790576914114,0.0
V05-0013_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39897.2915536737,0.0
V05-0013_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104611.55537619304,0.0
V05-0013_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39897.2915536737,0.0
V05-0013_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0013_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6076.179799731675,0.0
V05-0013_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39823.36356221416,0.0
V05-0013_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102980.47687972552,0.0
V05-0013_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39823.36356221416,0.0
V05-0013_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0013_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-7900.755099222719,0.0
V05-0013_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41148.37325285439,0.0
V05-0013_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_net_thrust,0.0,0.0
V05-0013_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-178883.55513546648,0.0
V05-0013_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,approach_landing,corrected_low_thrust_margin,-47560.73590853944,0.0
V05-0014_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0014_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6843.790576914114,0.0
V05-0014_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39897.2915536737,0.0
V05-0014_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104611.55537619304,0.0
V05-0014_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39897.2915536737,0.0
V05-0014_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0014_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6076.179799731675,0.0
V05-0014_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39823.36356221416,0.0
V05-0014_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102980.47687972552,0.0
V05-0014_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39823.36356221416,0.0
V05-0014_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0014_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,takeoff,low_net_thrust,0.0,0.0
V05-0014_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,takeoff,low_thrust_margin,-94120.74726379325,0.0
V05-0014_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,climb,low_thrust_margin,-27141.432277446453,0.0
V05-0014_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-8418.049227788557,0.0
V05-0014_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41525.020998522,0.0
V05-0014_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_net_thrust,0.0,0.0
