mach,altitude_m,weight_N,wing_area_m2,flap_mode,gear_down,blowing_momentum_coefficient,cl,cd,ld_ratio,cl_max,stall_speed_mps
0.75,10668.0,858081.875,160.0,clean,False,0.0,0.5712688243866034,0.040018868681189784,14.274986855266077,1.55,135.01817676901533
0.75,10668.0,858081.875,160.0,clean,False,0.04,0.5712688243866034,0.050018868681189786,11.42106647848747,1.67,130.07680248559802
0.75,10668.0,858081.875,160.0,clean,False,0.08,0.5712688243866034,0.06001886868118979,9.518153822943383,1.79,125.6410544980752
0.75,10668.0,858081.875,160.0,clean,False,0.12,0.5712688243866034,0.07001886868118978,8.158783984181566,1.9100000000000001,121.63019544914583
0.75,10668.0,858081.875,160.0,takeoff_flap,False,0.0,0.5712688243866034,0.05401886868118978,10.575357061958023,2.35,109.65391881102526
0.75,10668.0,858081.875,160.0,takeoff_flap,False,0.04,0.5712688243866034,0.06401886868118978,8.923444543068838,2.47,106.95709815683858
0.75,10668.0,858081.875,160.0,takeoff_flap,False,0.08,0.5712688243866034,0.07401886868118979,7.7178810560742654,2.59,104.44994273171396
0.75,10668.0,858081.875,160.0,takeoff_flap,False,0.12,0.5712688243866034,0.08401886868118978,6.799292032296783,2.71,102.11121476503713
0.75,10668.0,858081.875,160.0,landing_flap,True,0.0,0.5712688243866034,0.10901886868118979,5.240091291510262,2.75,101.36586746658242
0.75,10668.0,858081.875,160.0,landing_flap,True,0.04,0.5712688243866034,0.11901886868118979,4.7998172954981975,2.87,99.22409348643028
0.75,10668.0,858081.875,160.0,landing_flap,True,0.08,0.5712688243866034,0.12901886868118978,4.427792850968404,2.99,97.21258553260891
0.75,10668.0,858081.875,160.0,landing_flap,True,0.12,0.5712688243866034,0.1390188686811898,4.109289838177917,3.11,95.31865239898843
